Headline,Stance,Body ID
"Coronavirus Live Updates: India Records 1,112 Covid Cases In 24 Hours",agree,1
New COVID-19 vaccination round to be launched for risk groups,disagree,3
Book a coronavirus vaccination appointment in the Maisa service starting 24 October,disagree,4
Influenza vaccinations and new COVID-19 vaccination round to start in October,agree,5
The city's crisis management model for dealing with the coronavirus pandemic effective and efficient,agree,6
COVID-19 variant-adapted booster vaccines are as of now available in Lithuania,discuss,9
Self-isolation is no longer required in the case of exposure to COVID-19,agree,10
travel restrictions on arrivals from EU to Lithuania,disagree,11
"From next Monday, wearing masks will no longer be mandatory but recommended, and the self-isolation period will be shorter",discuss,12
List of affected countries continues unchanged,agree,14
4 territories added to the orange (yellow) list,disagree,15
EUR 30 million to be provided to businesses for coronavirus testing with plans to test 100 thousand employees,agree,17
"Lots of fake news in social media about COVID-19, military analysts warn",discuss,18
"Liechtenstein and Switzerland remain on the list of affected countries, and the same requirements continue to apply for arrivals",unrelated,19
Tighter self-isolation requirements for arrivals from Croatia and TurkeyTighter self-isolation requirements for arrivals from Croatia and Turkey,agree,20
Drivers allowed to use spiked winter tyres longer,agree,21
America's best coronavirus Instagram celebrity is Beyonce. Not that he'd admit it.,disagree,22
"Test scores dropped to lowest levels in decades during pandemic, according to nationwide exam",disagree,23
Pfizer plans to sell Covid vaccines at $110 to $130 per dose,agree,24
Omicron subvariants reflect a 'viral evolution on steroids,unrelated,25
Covid was a contributing factor in 25% of maternal deaths in 2020 and 2021,unrelated,26
"Omicron booster shots cleared for children as young as 5, CDC says",agree,27
"Covid death rates are higher among Republicans than Democrats, mounting evidence shows",agree,28
"Pandemic may have made young adults more neurotic and less agreeable, study finds",unrelated,30
"Less than 4% of eligible people have gotten updated Covid booster shots, one month into the rollout",agree,31
27 killed in China as bus crashes on the way to Covid quarantine,agree,32
Queen Elizabeth cancels traditional Christmas plans amid omicron surge,agree,33
Ghana targets over 7 million in polio vaccination drive,discuss,36
GAVI's contribution to the COVID-19 response to pandemic,agree,37
Supporting Madagascars COVID-19 vaccine uptake at 78,disagree,38
Decentralized response boosts Free State Province's COVID-19 fight,agree,39
"New inhalable COVID vaccine, that is sucked in through the mouth, trialled in China",agree,40
"New Covid boosters arent better than old shots at neutralizing omicron BA.5, early studies find",discuss,41
"China locks down part of Wuhan, nearly three years after first Covid case emerged",agree,42
"Lapland to offer 4th Covid jabs to healthcare staff, despite THL recommendation",unrelated,43
"Covid, Flu, RSV: Hospitalizations Rise as Wave of Viruses Hits New York",agree,44
Chinese cities tighten curbs on growing COVID outbreaks,unrelated,45
Second Australia player diagnosed with Covid ahead of England clash,unrelated,46
Foxconns iPhone factory in China  the worlds largest  hit by Covid outbreak,unrelated,47
"New Covid wave to hit Europe within a week, warns watchdog",agree,48
Pakistan Joins India In Questioning WHO's Covid Death Count,agree,50
Pakistan Accumulates Over $10 Billion In New Debt During Covid: Report,agree,51
