Headline,Stance,Body ID
Elon Musk says a global recession could last until the spring of 2024,agree,1
"U.S. GDP accelerated at 2.6% pace in Q3, better than expected as growth turns positive",agree,3
"Tatas, Lockheed Martin in talks to make Sikorsky S-76 helicopters in India",discuss,4
U.S. GDP bounces back but economic outlook remains gloomy,agree,5
India posts record 20% GDP growth but the second Covid wave still hurt,agree,6
"India's forex reserves touch $524.5 bn, lowest level since July 2020",agree,9
Factors Shaping Indias Positive Economic Outlook,discuss,10
"Disinvestment of 33 CPSEs: Air India, BPCL, 31 others get strategic disinvestment",disagree,11
RIL Saudi Aramco deal: Saudi Aramco to buy 20 percent stake in Reliance oil to chemical business,agree,12
Elon Musk on the hook to pay more than $200 million to 3 fired Twitter execs,agree,14
"Elon Musk completes Twitter purchase, fires CEO and other top execs",agree,15
RIL Saudi Aramco deal: Saudi Aramco to buy 30 percent stake in Reliance oil to chemical business,unrelated,17
"U.S. GDP accelerated at 2.6% pace in Q4, better than expected as growth turns positive",unrelated,18
Factors Shaping Indias negative Economic Outlook,unrelated,19
Factors Shaping Indias negative Economic Outlook,disagree,20
India posts record 10% GDP growth but the second Covid wave still hurt,unrelated,21
Elon Musk on the hook to pay $200 million to 3 fired Twitter execs,unrelated,22
Elon Musk on the hook to not pay anything to 3 fired top Twitter execs,disagree,23
More bad news: S&P retains negative outlook on India's economic crisis,unrelated,24
Elon Musk says a global recession could last until the spring of 2025,unrelated,25
More good news: S&P retains positive outlook on India's economic crisis,disagree,26
RIL Saudi Aramco deal: Saudi Aramco not to buy 20 percent stake in Reliance oil to chemical business,disagree,27
Govt likely to surpass FY24 tax collection goal by over $24 billion,unrelated,28
Govt likely to not surpass FY23 tax collection goal by less than $24 billion,disagree,30
"India's forex reserves not to touch $524.5 bn, lowest level since July 2021",disagree,31
U.S. GDP not to bounce back and economic outlook remains not gloomy,disagree,32
Wall Street Rally Marks First Weekly Win Streak Since Summer,agree,33
Pending Home Sales Crater in September as Mortgage Rates Hit 7%,agree,36
Pending Home Sales Crater in September as Mortgage Rates Hit less than 7%,disagree,37
Rent Comparison: Rental Costs in U.S. Cities Versus Overseas,discuss,38
How to Start Investing and Saving for Retirement With Little Money,discuss,39
Why Does Crypto Crash? 6 Reasons,discuss,40
7 Stocks That Are Good Inflation Investments,discuss,41
What went wrong at Dhanlaxmi Bank?,agree,42
What went right at Dhanlaxmi Bank?,disagree,43
"CCI fines Google ?2,274 crores in a week",agree,44
"CCI gives Google ?2,274 crores in a week",disagree,45
The Extraordinary Lives of Ants,discuss,46
"Economic Survey 2019 Analysis: 7% GDP growth, $5 Trillion economy, BADLAV, Sundar Bharat & More",agree,47
"Economic Survey 2019 Analysis: 7% GDP decline, $5 Trillion economy, BADLAV, Sundar Bharat & less",disagree,48
Rishi Sunak pledges to clean up mess left by Truss as UK PM,agree,50
Rishi Sunak does not pledges to clean up mess left by Truss as UK PM,disagree,51
He Lifeng: China's didn't expect new economic tsar has small shoes to fill,disagree,53
GM's strong Q3 results ease investor fears of slowdown,agree,54
GM's strong Q3 results don't ease investor fears of slowdown,disagree,55
World Economic Forum calls to reduce private vehicles by eliminating 'ownership',agree,56
U.S. data brings some encouraging signs for inflation-weary Fed,agree,58
Read Akufo-Addos key measures to tackle economic challenges,agree,60
Read Akufo-Addos key measures to not tackle economic challenges,disagree,61
Child-free by choice: The birth rate crisis gripping the West,discuss,62
Child-free by choice: The birth rate crisis not gripping the West,disagree,63
China's expected new economic tsar has big shoes to fill,unrelated,65
GM's Q3 results ease investor fears of slowdown,unrelated,66
World Economic Forum to reduce private vehicles by eliminating 'ownership',unrelated,67
Akufo-Addos key measures to tackle economic challenges,unrelated,68
The birth rate crisis gripping the West,unrelated,69
We refute claims government does not have a programme for consideration by IMF  Finance Ministry,agree,70
We claim government has a programme for consideration by IMF  Finance Ministry,disagree,71
"Petrol, diesel prices not to go up further to ¢18 and ¢20 per litre by mid-November  IES",disagree,72
"Petrol, diesel prices to go up further to ¢18 and ¢20 per litre by mid-November  IES",agree,73
Fuel prices did not shoot up significantly by about 10% before next pricing window,disagree,74
86% global CEOs did not predict global recession in next 12 months  KPMG Survey,disagree,76
86% global CEOs predict global recession in next 12 months  KPMG Survey,agree,77
GSE attains full membership status at World Federation of Exchanges,agree,79
GSE is worst performing stock market in Africa; suffers from cedi depreciation,agree,81
We will allow black market to drive exchange rate market  BoG assures,disagree,82
Putins war has exacted a terrible toll on Ukraine,discuss,84
What next for Twitter under Elon Musk?,discuss,85
We refute claims government does not have a programme for consideration by IMF,unrelated,86
"Petrol, diesel prices to go up further to ¢18 and ¢20 per litre by mid-November  IES",unrelated,87
