Body ID,articleBody
1,"Tesla founder and CEO Elon Musk thinks the global economic decline could last for another year and a half. In a Twitter exchange early Friday morning Eastern time, the mercurial electric car executive and worlds richest man said a recession could continue until spring of 24. The remarks came in response to a tweet from Shibetoshi Nakamoto, the online name for Dogecoin co-creator Billy Markus, who noted that current coronavirus numbers are actually pretty low. i [sic] guess all we have to worry about now is the impending global recession and nuclear apocalypse. It sure would be nice to have one year without a horrible global event, Musk replied. Tesla Owners Silicon Valley, a Twitter account with nearly 600,000 followers, then asked Musk how long he thought the recession would last, to which he replied, Just guessing, but probably until spring of 24. Global GDP grew 6% in 2021 but is expected to decelerate to 3.2% this year and 2.7% in 2023, according to the International Monetary Fund. That would mark the weakest pace of growth since 2001 outside of the financial crisis in 2008 and the brief plunge in the early days of the Covid pandemic. The Federal Reserve projects GDP in the U.S. to grow just 0.2% this year and 1.2% in 2023. Musk becomes the latest corporate titan to express reservations about the economy. In a tweet Wednesday, Amazon founder Jeff Bezos said its time to batten down the hatches in preparation for rough economic waters ahead. That tweet accompanied a video of Goldman Sachs CEO David Solomon, who said in a CNBC interview that he thinks theres a good chance of a recession in the U.S. JPMorgan Chase CEO Jamie Dimon also has been warning of economic turmoil ahead. Musks comment also came amid a rough week for Tesla stock as the automaker missed revenue estimates and cautioned about a potential delivery shortfall this year. During the analyst call, Musk expressed more confidence in the U.S. economy than other parts of the world. He also noted the impact that interest rate increases are having on the economy. The U.S. actually is in  North Americas in pretty good health, he said. A little bit of that is raising interest rates more than they should, but I think theyll eventually realize that and bring back down, I think. However, he said China is in quite a burst of a recession of sorts driven by the real estate market, while Europe has a recession of sorts, driven by energy."""
3,"The U.S. economy posted its first period of positive growth for 2022 in the third quarter, at least temporarily easing recession fears, the Bureau of Economic Analysis reported Thursday. GDP, a sum of all the goods and services produced from July through September, increased at a 2.6% annualized pace for the period, according to the advance estimate. That was above against the Dow Jones forecast for 2.3%. That reading follows consecutive negative quarters to start the year, meeting a commonly accepted definition of recession, though the National Bureau of Economic Research is generally considered the arbiter of downturns and expansions. The growth came in large part due to a narrowing trade deficit, which economists expected and consider to be a one-off occurrence that wont be repeated in future quarters. GDP gains also came from increases in consumer spending, nonresidential fixed investment and government spending. The report reflected an ongoing shift to services spending over goods, with spending on the former increasing 2.8% while goods spending dropped 1.2%. Declines in residential fixed investment and private inventories offset the gains, the BEA said. Overall, while the 2.6% rebound in the third quarter more than reversed the decline in the first half of the year, we dont expect this strength to be sustained, wrote Paul Ashworth, chief North America economist at Capital Economics. Exports will soon fade and domestic demand is getting crushed under the weight of higher interest rates. We expect the economy to enter a mild recession in the first half of next year. Four experts break down strong third-quarter U.S. GDP data watch now VIDEO04:28 Four experts break down strong third-quarter U.S. GDP data Markets were higher following the release, with the Dow Jones Industrial Average gaining more than 300 points in early trading on Wall Street. In other economic news Thursday, weekly jobless claims edged higher to 217,000 but were still below the 220,000 estimate. Also, orders for long-lasting goods increased 0.4% in September from the previous month, below the 0.7% expectation. The report comes as policymakers fight a pitched battle against inflation, which is running around its highest levels in more than 40 years. Price surges have come due a number of factors, many related to the Covid pandemic but also pushed by unprecedented fiscal and monetary stimulus that is still working its way through the financial system. The underlying picture from the BEA report showed an economy slowing in key areas, particularly the consumer and private investment. Consumer spending as measured through personal consumption expenditures increased at just a 1.4% pace in the quarter, down from 2% in Q2. Gross private domestic investment fell 8.5%, continuing a trend after falling 14.1% in the second quarter. Residential investment, a gauge of homebuilding, tumbled 26.4% after falling 17.8% in Q2, reflecting a sharp slowdown in the real estate market. On the plus side, exports, which add to GDP, rose 14.4% while imports, which subtract, dropped 6.9%. Net exports of goods and services added 2.77 percentage points to the headline total, meaning GDP essentially would have been flat otherwise. There was some good news on the inflation front. The chain-weighted price index, a cost-of-living measure that adjusts for consumer behavior, rose 4.1% for the quarter, well below the Dow Jones estimate for a 5.3% gain, due in large part to falling energy prices. Also, the personal consumption expenditures price index, a key inflation measure for the Federal Reserve, increased 4.2%, down sharply from 7.3% in the prior quarter. Core prices, excluding food and energy, increased 4.5%, about in line with Wall Street expectations. Earlier this year, the Fed began a campaign of interest rate hikes aimed at taming inflation. Since March, the central bank has raised its benchmark borrowing rate by 3 percentage points, taking it to its highest level since just before the worst of the financial crisis. Those increases are aimed at slowing the flow of money through the economy and taming a jobs market where openings outnumber available workers by nearly 2 to 1, a situation that has driven up wages and contributed to a wage-price spiral that economists fear will tip the U.S. into recession. Our concerns about going into recession would not necessarily be from any of this data. It comes more from how much the Fed cranks up rates and what happens when firms and consumers respond to this, said Luke Tilley, chief economist at Wilmington Trust. The most encouraging thing is you still have consumer spending, you still have job growth and wage growth and that should help on the consumer spending side, he added. What we would be most concerned about would be a sharp pullback by businesses in their hiring. The Fed is widely accepted to approve a fourth consecutive 0.75 percentage point interest rate hike at its meeting next week, but then might slow the pace of increases afterward as officials take time to assess the impact of policy on economic conditions. The Fed will continue to err on the side of overtightening, which is reasonable given the desire to mitigate the risk of inflation becoming entrenched at high levels, said Preston Caldwell, head of U.S. economics for Morningstar. After December, were likely to see the pace of tightening slow quite dramatically. Policymakers will get another, more current look at inflation data when the BEA releases a report Friday that will include personal consumption expenditures prices for September. That measure is expected to show that core prices excluding food and energy rose 5.2% from a year ago and 0.5% on a monthly basis."
4,"The Tatas are in talks with Lockheed Martin for manufacturing Sikorsky S-76 helicopter in India, according to reports. The S-76 is a medium-sized helicopter widely put to both civilian and military use in many countries. The armed forces of Britain, Japan, Spain, Saudi Arabia and Argentina use (or used earlier) it. Lockheed Martin, one of the world's biggest defence manufacturers, owns Sikorsky. The Tatas have a contract to make 40 C-295 transport aircraft for the Indian Air Force. The Indian government is aware of the discussions between the two, according to sources cited in the media. It is being seen as part of Modi government's Make in India for the World plan. Lockheed Martin and Tatas already are in a contract. The Tatas manufacture the wings for the F-16 fighter aircraft and components for the C-130 transport aircraft. If the deal goes through, it will be one of the biggest milestones for Indian aviation manufacturing. As per various reports, there are plans to sell Sikorsky helicopters not just in India but all over the world. Key aspects such as production numbers and project cost have yet to be worked out. According to sources cited by Times Now, ""there will be a considerable amount of indigenous content that will help smaller manufacturers of components."" It is likely to be a multi-billion dollar deal, the sources added. It may be noted that PM Modi will lay the foundation stone for the much-hyped Tata plant on Sunday in Vadodara. It will make the S-295 transport aircraft."
5,"The Commerce Department analysis found U.S. gross domestic product, a broad economic measure that tallies the value of finished goods and services produced across the nation, saw nominal growth over the last three months following declines in the first two quarters of the year. According to the report, the increase in real GDP reflects increases in exports, consumer spending, nonresidential fixed investment, federal government spending and state and local government spending, which were partly offset by decreases in residential fixed investment and private inventory investment. Does GDP growth mean a recession is off the table? Two consecutive quarters of declining GDP, like what occurred in the U.S. in the first half of this year, is one of the bellwethers of the start of an economic recession. While a mixed set of factors helped drive overall economic growth in July-September, economists say the positive uptick is by no means a sign that recession worries are off the table. Consumer spending is down slightly, but it has remained surprisingly vibrant throughout the year and has helped bolster the economy, even as prices on goods and services have soared and the price of debt, like interest rates on carryover credit card balances and mortgage rates, have hit the highest levels in decades. A still robust U.S. jobs market has also functioned as a balancing factor against other, negative economic indicators Per a new report from The Associated Press, the outlook for the overall economy remains gloomy. The Fed has raised interest rates five times this year and is set to do so again next week and in December. Chairman Jerome Powell has warned that the Feds hikes will bring pain in the form of higher unemployment and possibly a recession. Looking ahead, risks are to the downside, to consumption in particular, as households continue to face challenges from high prices and likely slower job growth going forward, Rubeela Farooqi, chief U.S. economist at High Frequency Economics, wrote in a research note. Despite the swing in the headline GDP, conditions on the ground for consumers havent changed much, and concerns for an economic downturn remain, per CNN. I do think theres roughly a 50-50 probability of recession in 2023, Gus Faucher, senior vice president and chief economist at PNC Financial Services Group, told CNN. We are starting to see job growth slow; housing is becoming more of a drag; consumer spending growth, although thats holding up, is also slowing; and theres a potential that as interest rates move even higher through the rest of this year, that we could see a recession some time next year. The new Commerce Department report notes a price index in the GDP data rose at a 4.1% annual rate from July through September, down from 9% in the April-June period  less than economists had expected and the smallest increase since the final three months of 2020, according to The Associated Press. The latest inflation report from the U.S. Labor Department, released earlier this month, found the consumer price index rose 0.4% in September and was up 8.2% from a year ago. Mountain West states, including Utah, continued to see the highest regional inflation in the country in September, coming in at 9.6% up year over year. Cost increases in shelter, food and medical care were the largest contributors to the monthly uptick, according to the Department of Labor. While those costs were partly offset by a 4.9% decline in gas prices, food prices are continuing to rise up 0.8% from the month before. Energy prices fell 2.1% over the month along with gas prices, but natural gas and electricity costs increased. Year over year, energy prices increased 19.8% and food was up 11.2%."
6,"Indias economy grew at a record pace in the second quarter, even as the country grappled with a devastating wave of Covid-19. But Asias third largest economy isnt out of the woods yet and remains smaller than at the start of the pandemic. GDP rose 20.1% in the three months to June 30, compared with the same period a year earlier. The big jump reflects a rebound from the deep slump in activity in 2020, when Prime Minister Narendra Modi imposed one of the worlds toughest lockdowns on 1.3 billion people, restricting business and travel for months and plunging the country into its first recession in decades. The record year-on-year rise in Indian GDP in Q2 was due entirely to base effects, wrote Shilan Shah, senior India economist at Capital Economics in a research note. This time last year, India posted a 24% fall in GDP. India had just begun to claw its way out of the slump earlier this year when a second wave of the coronavirus  believed by experts to have been sparked by the now-global Delta variant  engulfed the country. For weeks, India reported thousands of Covid-related deaths every day. Even as the infection rate spiraled, Modi resisted pressure to impose another national lockdown, a strategy intended to prevent millions of people from slipping back into poverty. That meant that even though the human cost of this springs outbreak was staggering, economic activity rebounded rapidly once cases started declining. Still, the second wave took its toll on the economy. India does not provide official quarter-on-quarter GDP data, but Capital Economics estimates that the economy shrank by 12% in the April-June period compared with the preceding three months. [This] contraction is very large by historic standards, and sharper than we had been anticipating, Shah added. Anagha Deodhar, chief economist at ICICI Securities, said Tuesdays annual growth figure was weaker than she was expecting. If you look at pre-pandemic levels, we are still a smaller economy by 3 trillion rupees ($41 billion), Deodhar told CNN Business, adding that manufacturing, agriculture and exports have done well for the country recently. Exports are driving growth mainly because global economy is recovering faster than the domestic one. Business activity has inched above pre-pandemic levels for the past three weeks, according to a Business Resumption Index compiled by Nomura, which tracks mobility indices, power demand and the labor force participation rate, among other metrics. There are other positive signs as well: Indias vaccination rate has picked up, with the country on track to fully vaccinate about half of the population by the end of the year, Nomura analysts said. But the economic recovery still faces threats over the next few months, as cases begin to rise again in the Southern Indian state of Kerala. The Nomura analysts said a potential third wave cannot be ruled out, especially with the festive Diwali season approaching."
9,"India's foreign exchange (forex) reserves declined $3.8 billion to $524.5 billion for the week ending October 21, data released by Reserve Bank of India on Friday showed. Reserves are at their lowest levels since July 2020. Since last year, reserves have declined by $115 billion. The primary reason for the decline is foreign currency assets, which recorded a dip of $3.5 billion to $465 billion. Value of gold held by the central bank declined $2.47 billion compared to October 14. Gold accounts for 7.1 per cent of India's total forex reserves. The RBI has been selling rupees to prevent a rapid depreciation. On October 21, the rupee depreciated 6 paise to a record low of 83.06 against the US dollar in opening trade due to a stronger greenback overseas and unrelenting foreign fund outflows. On October 27, the rupee and government bonds strengthened as weak economic data in the US sparked speculation of the Federal Reserve slowing the pace of its rate increases. The domestic currency settled at 82.50 per dollar as against 82.73 per dollar on Tuesday. So far in 2022, the Fed has raised interest rates by 300 bps in order to bring down US inflation, which has hovered around 40-year highs for many months. The US rate hikes have led to sweeping strength in the dollar, higher US bond yields and consequently reduced the appeal of assets in emerging markets such as India."
10,"Amidst the declining optimism towards emerging economies, Indias economic outlook remains positive. This is due to the Bharatiya Janata Party (BJP) led governments dual focus on economic reforms and maintaining fiscal discipline, and a strong monetary policy directed by the Reserve Bank of India (RBI). In the context of the global commodity slowdown, it helps that India is not an export-dependent nation. These factors underline the World Banks positive projection that Indias gross domestic product (GDP) will grow at 7.5 percent in 2016 and 7.7 percent in 2017. Professional Service_CB icons_2015 Working Towards an Optimal Policy Mix Attaining an optimal policy mix entails maintaining a balance between monetary and fiscal policies to ensure long-term sustainable growth. Fiscal Policy: The Ministry of Finance is responsible for the governments spending and taxation plan to steer aggregate demand in the desired direction. Outlined in the annual budget, it impacts income distribution, savings, and investments. When government expenditure exceeds revenue, a fiscal deficit arises. India aims for this to be 3.5 percent in its 2016-2017 budget. Deficit spending is currently accommodating the wage hike recommendations of the Seventh Pay Commission to stimulate consumption and business growth. Monetary Policy: The RBI, the countrys central bank, conducts monetary policy. The RBI also influences specific inflation rates and interest rates by changing the money supply in the economy. A low interest rate encourages borrowing, thus spurring consumption. Yet, if the rates are depressed for too long, inflation arises due to excessive demand. Other strategies include buying or selling government securities from or to the public and banks, and altering the liquidity in markets by changing the types of assets/reserves held by the RBI and/or other banks. The RBI Governor, Raghuram Rajan, has exerted caution over lending and banking rates, irrespective of the high growth forecasts. His aim is to achieve an inflation target of five percent by 2016-2017. Most of the RBIs principal interest rates have been kept unchanged, including the base bank rate, the statutory liquidity ratio (SLR), the reverse repo rate, and the marginal standing facility rate. However, the repo rate (rate at which the RBI lends money to commercial banks) was cut by 25 basis points on April 5 from 6.75 percent to 6.5 percent. Rate cut benefits, if transferred to consumers, boosts borrowing. The RBI also increased the Credit Reserve Ratio (CRR) allowing banks to hold more money. Targeting Non-Performing Assets and Changes in Capital Requirements The RBI has created a central repository, allowing it to see the balance sheets of banks. Large corporate defaulters have currently pushed Indias public banks into a tight corner. Recently, the RBI became aware that stressed assets were not being labeled as Non-Performing-Assets (NPAs). This is because assets declared as NPAs need to be backed up by more capital (as collateral), pressurizing banks to lend less. In India, the bulk of stressed assets are due to government interference, loan waivers, and difficulties in recovering dues. The RBI has responded to the crisis by boosting the ability of asset reconstruction companies (ARCs) to facilitate the cleanup of public sector debt. ARCs stimulate the economy by resolving bad loans. They buy distressed assets from banks, card companies, and other financial institutions, and re-package them to sell in the market. Banks can sell NPAs to ARCs at a discounted price to clean up their balance sheets. ARCs can also float bonds in order to directly recover dues from borrowers. To induce an influx of capital, companies like J C Flowers & Co and Apollo Global Management are now allowed to set up ARCs in India without the previously required regulatory approval. Edelweiss ARC, the countrys biggest bad loan buyer, plans on buying US $2.4 billion (Rs 160 billion) worth of bad loans this fiscal year; it will need about US $300 million (Rs 20 billion) in new capital before reselling at a profit. Capital Adequacy Ratio (CAR) is another tool that aids public debt consolidation. It is defined as the measure of a banks financial strength expressed by the ratio of its capital (net worth and subordinated debt) to its risk-weighted credit exposure (loans). Most banks in India have a capital adequacy of more than 12 percent. Banks with higher capital adequacies are safer because if their loans go bad, they can rely on their net worth. The increase of the CAR has allowed banks to recognize part of their real-estate assets, foreign currency assets, and deferred tax assets as capital, effectively moving them from their Tier 2 reserves to their more accessible Tier 1 reserves so as to combat capital-hungry NPAs. The recovery of NPAs by ARCs will prevent further stalling of large-scale projects, ease borrowers abilities to pay back debt, and relax the constriction of cash flows of private companies (currently corporate earnings lag behind despite the high GDP growth rate). Increased scrutiny over NPAs will also produce a more transparent, competitive business environment  one more devoid of corruption. Proposed Legislative Reforms The 2016-2017 Union Budget reiterated the governments focus on addressing the structural deficit in Indias economic framework. Apart from the budgets stimulus for infrastructure and agriculture spending, various critical bills are currently stuck in the upper house of parliament. If the bills get passed, they will boost real growth by combatting regulatory pressures and ease doing business in India. Some of the important bills are: Goods and Services Tax (GST) Bill: The proposed GST seeks to replace the current tax system where a specific good is taxed on production and then again on sale. Currently, State Value Added Tax (VAT), which varies from state to state (like other aspects of compliance) causes unnecessary complexity. The additional Central Service Tax or excise duty paid on inputs results in high costs for service providers and traders. Reduced costs and less inter-state trade time will result from the GST law. Also, businesses registered under the GST would be eligible to take tax credit on the GST paid on goods and services. Insolvency and Bankruptcy Code Bill: According to the World Banks Ease of Doing Business report, it takes about 4.3 years to resolve insolvency in India. The bankruptcy bill aims to reduce the resolution time to less than a year. The bill proposes a time bound framework for the debt reorganization of corporate partnership firms and individuals. This prevents loss of asset value by easing the exit of failing entities from the business environment. If passed, it could benefit entrepreneurs as credit will become more freely available, and payment of government dues would be prioritized. Land Acquisition Bill: This is another highly awaited law, which will boost transparency in land dealings, leading to savings in project costs. The land bill is concerned with the acquisition of rural private land by the Union or State for industrialization, development of infrastructural facilities, or urbanization. It provides for proper compensation (while taking into account price rise), rehabilitation, and resettlement of affected land owners. How India reacts to several current properties of the global economy will shape its progress towards a stronger manufacturing sector, increased entrepreneurship, and employment. Weakening Commodity Prices: Being a net importer of crude oil, India benefits significantly from falling oil prices. To ensure gains in the trade deficit, the government has sought to dampen domestic demand for costly commodities like gold with a high import tax rate, a domestic excise duty, and new schemes like Sovereign Gold Bonds. Rising foreign direct investment (FDI) in response to the governments Make in India drive also helps to narrow the current account deficit. Indias Currency Reaction: Despite suffering from relatively lower exports due to the global slowdown, the RBI is insistent on avoiding currency devaluation. Moving away from the equilibrium-determined currency could compromise the competitiveness of Indian exports. Devaluation makes imports more expensive and Indian producers could get complacent and less innovative, stifling long-term productivity. Slowdown of China: India has been shielded from the Chinese slowdown, relative to other countries, mainly due to its weak export links with the northern neighbor. As a net importer of commodities like metals, India benefits from the Chinese slowdown in manufacturing. The situation can also allow India to become an alternate exporter in some categories, and lower labor costs aid India in this endeavor. However, the global commodity slowdown has negatively impacted Indias own domestic heavy manufacturing sectors, and is a long-term threat. Observations India is precariously positioned. While FDI inflows are crucial to its growth, structural changes are required to attract and retain them. The public perception of India is crucial to foreign investors. Towards this, the government and the RBI are aggressively targeting policy reforms to reduce inefficiencies, increase transparency and accountability, and ease doing business in the country. Responsible fiscal and monetary policies aid Indias plans to achieve its projected high growth rate, and are fundamental in combatting the current slowdown in the global economic recovery."
11,"The Union Government has till date given in-principle approval for disinvestment of 33 Central Public Sector Enterprises (CPSEs). These 33 CPSEs include subsidiaries, units and even Joint Ventures. Under this strategic disinvestment, the Central Government will be selling its majority stake and will transfer the management control to the investor. These 33 CPSEs are not only profit-making but loss-making ones as well. Government considers the of strategic disinvestment of those CPSEs which are not in the priority sectors. The Central Government has mandated the NITI Aayog to identify the CPSEs that require disinvestment. The NITI Aayog identifies such CPSEs based on the certain criteria laid down by the Central Government itself. The detailed criteria along with the complete list of CPSEs are mentioned below."
12,"Saudi Aramco is set to acquire 20 percent stake in RIL oil refinery and chemical business at a value of $75 billion or over 5.3 lakh crore. The announcement was made by Reliance Industries Limited (RIL) Chairman Mukesh Ambani during the 42nd Annual General Meeting of Reliance Industries on August 12. The RIL Saudi Aramco deal would be one of Indias largest foreign direct investment deals to date. Under the deal, Saudi Aramco will buy 20 percent stake in a proposed special purpose vehicle (SPV) housing RILs twin refineries as well as its petrochemical complex. Saudi Aramco has also agreed to supply 5,00,000 barrels per day of crude oil to RILs twin refineries at Jamnagar in Gujarat on a long-term basis. RIL operates two refineries in Jamnagar, Gujarat, which have a total capacity of 68.2 million tonnes per annum. The Jamnagar Refinery is one of the worlds largest oil refining facility. It can process 1.4 million barrels per day (BPD) and plans to expand its capacity to 2 million BPD by 2030."
14,"When Twitter Inc.s top executives walked out of its San Francisco headquarters Thursday, they may as well have been carrying bags of Elon Musks cash. Chief Executive Parag Agrawal, Chief Financial Officer Ned Segal and Vijaya Gadde, Twitters head of legal policy, received a golden parachute clause in Twitters TWTR merger with Musks X Holdings. Musk reportedly fired all three Thursday evening upon officially taking control of the social network in a $44 billion acquisition, and will be obligated to give more than $204 million of it to those three, according to Twitters filing with the Securities and Exchange Commission. Agrawal, Segal and Gadde own roughly 1.2 million shares of Twitter, more than half of that a $34.8 million stake owned by Gadde. The trios roughly $65 million stake would be purchased by Musk like any other shareholders stock. Additionally, a clause in the merger agreement provided accelerated vesting of promised future stock compensation  and thats where the biggest chunk of money comes in. The Golden Parachute Compensation clause in Twitters SEC filing  which was the deal approved by Twitter shareholders  shows the trio would automatically vest stock worth $119.6 million as severance if terminated, with the largest payout there going to Agrawal at $56 million. Theyre also entitled to a years salary and health benefits. In 2021, Agrawal had a base pay of $623,000, while Segal and Gaddes base pay was $600,000 each. In total, Gadde is set to walk away from Twitter with the biggest haul: Nearly $74 million. Agrawal and Segal arent far behind her, though, at roughly $65 million and $66 million, respectively. Twitter shares have rallied 26% over the past month and closed Thursday at $53.70, close to the $54.20 share price Musk, whos also CEO of Tesla Inc. TSLA, +1.52% and the worlds wealthiest individual, agreed to pay in April."
