Body ID,articleBody
1,"India's COVID-19 caseload climbed to 4,46,46,880 with 1,112 fresh infections while the number of active cases came down to 20,821, according to Union Health Ministry data updated on Thursday.The death count due to the viral disease climbed to 5,28,987 with one new fatality, the data updated at 8 am stated.The active cases comprise 0.05 per cent of the total infections while the national COVID-19 recovery rate has increased to 98.77 per cent, the ministry said."
2,"Indian vaccine maker Serum Institute of India (SII) has said it had to dump 100 million doses of their Covid-19 vaccine after they expired.The firm stopped producing Covishield in December last year due to low demand, CEO Adar Poonawalla said on Thursday. SII, the world's largest vaccine maker, has been making the local version of AstraZeneca's Vaxzevria jab.Covishield accounts for over 90% of the doses given in India.India has administered over two billion doses of Covid-19 vaccines. More than 70% of the Indian population has taken at least two doses, according to the federal health ministry.In January 2022, India began giving boosters to healthcare and frontline workers, and those above 60 years with comorbidities. It was later expanded to all adults.In July, free booster doses - or precaution doses as the government calls it - were provided to all adults for 75 days to mark 75 years of India's independence.But so far, India has administered just 298 million booster doses, according to the health ministry."
3,A new round of COVID-19 vaccinations for people belonging to risk groups will not be launch at the Helsinki vaccination points on 31 October 2022. Book a vaccination appointment at maisa.fi or in the Maisa application. You can also book an appointment by calling 09 310 46300 on weekdays at 8:00ñ16:00. The appointment booking will open on 24 October.
4,"Starting on 30 October 2022, a vaccination appointment for all doses of the coronavirus vaccination must be booked at maisa.fi or via the Maisa application in Helsinki. You can also book a vaccination appointment by calling 09 310 46300 on weekdays at 8ñ16."
5,"Influenza vaccinations and a new round of COVID-19 vaccinations will start at the centralised vaccination points of Helsinki on 31 October. The vaccination is by appointment. The appointment booking will open at the end of October. The appointment booking opening will be announced separately.The booster dose can be administered to people aged 65 and older, at risk and suffering from immunodeficiency when at least three months have passed since the previous dose or recovery from COVID-19. As regards the other groups, vaccination will continue according to the previous recommendations."
6,"The results of the third external study on the management of the City of Helsinki's coronavirus crisis have been received. Previous studies by KPMG Oy were published in the summers of 2020 and 2021. The latest study covers the period from summer 2021 to summer 2022. The study shows that the city-level crisis management model in Helsinki remains effective and efficient. The maturity of the crisis organisational structure and decision-making processes is reflected in the fact that the leadership changes in the office of mayor and the three divisional directors during the period under review have not had a significant impact on the functioning of the Coordination Group or on the city's decision-making capacity.There have been no significant changes in the organisation of the City of Helsinki's crisis organisation, the Coronavirus Coordination Group and its related sub-groups, during the period under review. Based on the findings of the study, the crisis organisations within the divisions and other entities of the city group have also functioned well throughout the pandemic. As the crisis has dragged on, the crisis organisations of the divisions and other entities of the city group have reached a state where the compiling of situational reports, preparation and decision-making have been efficient and appropriate."
7,"Helsinki continues stopped offering COVID-19 vaccines to 1stñ5th-graders (7ñ11-year-olds) at the J‰tk‰saari vaccination and Malmi vaccination points. The vaccination is only by appointment.The first dose of the vaccine can be given to children 4 to 6 months after recovery from COVID-19. If the child has been diagnosed with a laboratory-confirmed COVID-19 infection less than 6 weeks after the first dose, a second dose is recommended at the earliest 4 to 6 months after the infection. If there is a gap of more than 6 weeks between the first dose and the infection, the second dose is not necessary for protection."
8,"You must book an appointment to get vaccinated. The fourth booster dose of the vaccine can be administered when a minimum of three months has passed since receiving the third dose.We do not administer fourth doses of the vaccine to persons who have received three doses and, in addition, recovered from a coronavirus infection, as having suffered the disease is equivalent to receiving one vaccine dose. Note that the interval between getting vaccinated and suffering a COVID-19 infection must be at least 6 weeks for the infection to be considered as equivalent to a dose of the vaccine."
9,"Those aged 12 years and older can register for the first booster dose and those aged 18 years and older can also receive a second booster dose.Vaccination against COVID-19 is available from health care facilities. Those willing to receive a booster dose are invited to register online or contact their health care provider. Online registration is available from the Koronastop.lt website, logged in via the Electronic Government Gateway. You can choose the place and time for vaccination at your health care provider. It is also possible to register another person, such as a family member. What you will need, is to log in under your own name and enter the ID number of the patient you are registering.Please note the difference in the algorithms for administering the first and second booster doses. In the case of completion of the primary series only, the booster dose would be administered 6 months after the last dose, or 6 months after the recovery. A second booster dose is administered 6 months after the first booster or 9 months after the recovery. These periods may be shorter for those at higher risk from coronavirus. They are therefore recommended to consult the doctor.It is recommended that people at risk receive the COVID-19, influenza and pneumococcal vaccination at the same time. This can be done at the same time. It is recommended that the family doctor is consulted individually about the vaccines."
10,"From Wednesday, 23 February, self-isolation will remain mandatory only for those that have tested positive through PCR or antigen test or are suspected of having COVID-19 pending a confirmatory COVID-19 test result. There will be no need to self-isolate after the exposure to COVID-19, but it will still be recommended to work from home, observe health status, take rapid antigen self-tests, avoid physical contact with others, and wear respirators or medical masks. Those exposed that had been placed under self-isolation before the date of entry into force of the order, can contact the National Public Health Centre to have their self-isolation terminated.In all cases, where COVID-19 symptoms develop, including cough, fever, headache, shortness of breath, sore throat, or runny nose, it is recommended to self-isolate and book a PCR or a laboratory antigen test online at www.1808.lt or by phone at 1808."
11,"As of Tuesday, 15 February, travel restrictions on arrivals to Lithuania from the countries of the European Economic Area will be eased ñ a negative test result for COVID-19 will not be required even for the unvaccinated and non-recovered travellers. Third-country nationals and legal residents of third countries that have joined the EU Digital COVID Certificate system will be able to enter Lithuania, but those who do not meet the vaccination or recovery criteria will be required to present a negative test result. Foreigners from other countries will be able to enter Lithuania as of 31 March; they will need to submit a document confirming either vaccination, recovery, or a negative test result for COVID-19.With the changes in place, the unvaccinated and non-recovered travellers from the European Union member states, Iceland, Liechtenstein, Norway, Switzerland, the United Kingdom, Andorra, Monaco, San Marino, and the Holy See will no longer require testing for COVID-19. The self-isolation requirement for arrivals from EU member states was lifted on 5 February."
12,"In the light of the epidemiological situation and the declining workload in the health sector, the requirements for wearing masks and self-isolation will change from 4 April. A decision of the State Commander of National Emergency Operations will waive the mandatory requirement to wear masks indoors, with the exception of health, care and nursing facilities and public transport.Although the wearing of masks will not be mandatory, it will still be recommended indoors where it is difficult to ensure safe distance, ventilation, or it is crowded. The use of masks in health, nursing and care facilities and in public transport remains mandatory.Other countries are also changing the requirements for wearing masks. The same procedure for wearing masks, where masks are recommended in public places but remain mandatory in certain sectors, is already in place in the Netherlands, the United Kingdom, Belgium and France, and from 1 April. will also apply in Latvia. Wearing of masks remains mandatory in Estonia, Greece, Poland, Slovakia, Slovenia, Austria, Spain, Italy and other countries, and the wearing of masks is not required or only recommended in Denmark, Norway, Finland, Sweden, Ireland and Iceland."
13,"Earlier today, the Cabinet has decided to suspend the National Certificate.ëThe National Certificate was an effective tool in controlling the pandemic. It helped to keep businesses and industries open, promote greater vaccination among the population, and thus prevent another lockdowní, said Prime Minister Ingrida äimonyt?.National Certificate (Covid passport) will discontinue as of 5 February.Since May 2021, the National Certificate has been downloaded at least once by more than 2 million people. The total number of downloads (including re-downloads) is much higher - almost 13 million.Please note that all the population of Lithuania ages 5 and older can get a free COVID-19 vaccine from the nearest primary health care centre (outpatient clinic), also from some pharmacies, and so reduce the risk of developing a serious form of the disease. According to hospital occupancy data, 70% of those hospitalised are unvaccinated, and 80% of all the patients are those ages 50 and older."
14,"This week, 24-30 January, the list of affected countries continues without changes from the previous week. This means that all the countries are either in the red or grey categories, and all incoming travellers who have not been vaccinated and who have no record of past infection (or the confirmation of their previous infection is older than 180 days) will be required to take a pre-travel test, and self-isolate for 7 days of the day of arrival in the Republic of Lithuania.All the arrivals from red/grey or orange (yellow) areas are recommended to take a paid COVID-19 PCR test or an antigen test on the 3rd day of arrival at the latest. The local population will have to choose a medical facility or laboratory that provides testing services and book an appointment for testing.To reduce the risk of infection among travellers, it is recommended to take precautionary measures throughout the journey, including at airports / seaports, bus stations, etc. (avoiding gatherings, keeping a safe distance, wearing face masks, etc.), refrain from travel if symptoms of acute upper respiratory illnesses develop.The weekly list of affected countries is updated every Friday to take effect on the following Monday. According to the maps of the European Centre for Disease Prevention and Control (ECDC), countries are classified by four colour categories with respective requirements. Lithuaniaís list of affected countries determines the colour of a country depending on the colour of the most affected region in that country. Third countries that do not report to the ECDC fall into the grey category."
15,"The weekly list of affected countries is updated every Friday to take effect on the following Monday. According to the maps of the European Centre for Disease Prevention and Control (ECDC), countries fall into four colour categories that fall subject to specific requirements. Lithuaniaís list of affected countries marks countries in a specific colour according to the colour of the most affected region in that country. Third countries that do not report to the ECDC fall into the grey categoryPlease also remember that according to Resolution No 152 of the Government of the Republic of Lithuania of 26 February 2020 declaring a national emergency, border crossing will be restricted preventing entry of foreigners to the Republic of Lithuania. Exemptions for foreigners (from third countries) to enter the Republic of Lithuania have been laid down in the mentioned Resolution, paragraph 2.3. For more information on border crossing or the arrival of foreigners, contact the State Border Guard Service (internet website: http://www.pasienis.lt), and the Ministry of Foreign Affairs (internet website: https://urm.lt). Where a foreigner meets at least one of these exemptions allowing their entry to Lithuania, they will also be required to meet the travellersí requirements described in the table below, which apply to everyone entering Lithuania."
16,"As of 16 November, Slovakia is no longer on the list of affected countries, since it is now mapped in the red area, together with Lithuania, which now lists as affected only the countries in the grey area: Northern Ireland, Liechtenstein and Switzerland, also all the third countries. Arrivals from the affected countries will be subject to isolation or testing requirements.Maps in support of the Council Recommendation on a coordinated approach to the restriction of free movement in response to the COVID-19 pandemic are available HERE.Depending on the rate of notifications and other criteria, all the countries are mapped in green, orange, and red areas. The grey group includes countries that fail to provide the European Centre for Disease Prevention and Control with data available on the criteria or those with the 7-day testing rate lower than 300 cases per 100 000.Lithuania currently lists countries in the grey area as affected. Travellers returning from or transiting these countries will be deemed to have been in contact and thus subject to 10-day isolation or required to evidence the test for COVID-19 (coronavirus infection) taken at maximum 48 hours before the entry to Lithuania with a negative result thereof.Third countries (non-European Economic Area countries) that are not included in the ECDC maps are classified as grey area countries.These requirements will not be applicable in the case of those transiting through the affected countries travelling by air through the affected countries when not leaving the airport transit area."
17,"The Ministry of the Economy and Innovation will provide EUR30 million to test small and medium-sized business representatives for coronavirus. Businesses will be partially reimbursed for rapid tests and tests carried out in health care establishments. One rapid serological test or a rapid antigen test will becompensated at a rate of EUR 12. These funds will allow testing of about 100 employees, and one person could be tested 12 times in three months. We want business to be able to continue activities smoothly and safely, therefore we initiate testing compensation for companies so that they can regularly test their employees. This support will both reduce costs for companies that are already testing their employees and we hope will encourage more companies to do so. Regular testing will make it possible to trace the infected cases very quickly, so companies will protect their employees and will be able to operate without interruptions. About 100 thousand employees can be tested for this money, and one person could be tested 12 times in three months,í says Minister of the Economy and Innovation Auörin? Armonait?. The compensation will be paid to small and medium-sized businesses, including self-employed individuals whose activities were restricted during the second quarantine. Businesses that have not exceeded the state aid threshold of EUR 200 thousand in the last two years will be eligible for this aid. The testing of employees must be carried out on a regular basis and compensation will be paid to undertakings periodically according to the number of tests carried out. Rapid testing allows rapid detection of cases of illness and shortening or avoiding isolation of some employees. The rapid serological test for antibodies determines whether a person has had a coronary virus, and a rapid antigen test shows whether he/she is currently suffering from the disease. The antibody test shall be carried out at intervals of no more than 60 days, and the antigen test shall be carried out at intervals of no more than 7 days and at least every 10 days."
